image_path,species_name,species_id,is_mimic,is_model
E:\DEEPLEARNING\butterfly_identification\adonis\000.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\001.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\002.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\003.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\004.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\005.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\006.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\007.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\008.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\009.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\010.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\011.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\012.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\013.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\014.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\015.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\016.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\017.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\018.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\019.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\020.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\021.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\022.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\023.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\024.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\025.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\026.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\027.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\028.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\029.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\030.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\031.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\032.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\033.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\034.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\035.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\036.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\037.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\038.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\039.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\040.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\041.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\042.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\043.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\044.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\045.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\046.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\047.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\048.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\049.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\050.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\051.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\052.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\053.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\054.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\055.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\056.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\057.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\058.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\059.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\060.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\061.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\062.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\063.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\064.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\065.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\066.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\067.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\068.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\069.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\070.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\071.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\072.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\073.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\074.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\075.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\076.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\077.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\078.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\079.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\080.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\081.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\082.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\083.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\084.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\085.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\adonis\086.jpg,Adonis,0,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\000.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\001.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\002.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\003.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\004.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\005.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\006.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\007.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\008.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\009.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\010.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\011.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\012.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\013.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\014.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\015.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\016.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\017.jpg,American Snoot,1,0,0
E:\DEEPLEARNING\butterfly_identification\american snoot\018.jpg,American Snoot,1,0,0
